Code	StockOnHand	Count
"6083045"	0	""
"6083038"	0	""
"6081386"	0	""
"6060558"	0	""
"600885"	0	""
"6070854"	0	""
"6044855"	0	""
"6044848"	0	""
"600800"	0	""
"600801"	0	""
"600802"	0	""
"600807"	0	""
"600782"	0	""
"600799"	0	""
"6048037"	0	""
"600809"	0	""
"600263"	0	""
"600813"	0	""
"6044862"	0	""
"6044879"	0	""
"6042257"	0	""
"6013745"	0	""
"6071011"	0	""
"600945"	0	""
"6010607"	0	""
"6026806"	0	""
"6026776"	0	""
"6026790"	0	""
"6007997"	0	""
"6012786"	0	""
"600949"	0	""
"600952"	0	""
"600953"	0	""
"6060794"	0	""
"6052881"	0	""
"6085650"	13	""
"6085667"	10	""
"6085995"	25	""
"600967"	16	""
"6032159"	22	""
"6059712"	0	""
"6053697"	0	""
"6053680"	0	""
"6059705"	0	""
"6083168"	0	""
"6085148"	3	""
"6083151"	0	""
"6080433"	0	""
"6080310"	0	""
"6077150"	0	""
"6077167"	0	""
"6007621"	0	""
"6009489"	0	""
"600944"	0	""
"600943"	0	""
"6082697"	0	""
"6065430"	0	""
"6082673"	0	""
"6082703"	0	""
"6034306"	0	""
"6045845"	0	""
"6050122"	0	""
"6033545"	0	""
"6004668"	0	""
"6062699"	0	""
"6000721"	0	""
"6021887"	0	""
"6015343"	0	""
"6014315"	0	""
"6021870"	0	""
"600921"	0	""
"6063511"	0	""
"6073589"	5	""
"600954"	0	""
"6066222"	0	""
"600968"	8	""
"600974"	61	""
"600975"	1	""
"600976"	0	""
"600977"	0	""
"600970"	11	""
"600965"	0	""
"600971"	0	""
"6066208"	0	""
"600964"	0	""
"602728"	0	""
"6052997"	0	""
"6064938"	0	""
"601052"	0	""
"6064921"	6	""
"6064945"	4	""
"6067977"	0	""
"601588"	0	""
"6076078"	0	""
"6082345"	0	""
"6066178"	0	""
"601023"	0	""
"6066482"	106	""
"6050641"	0	""
"6066185"	0	""
"6050627"	0	""
"601079"	379	""
"6082123"	0	""
"6082055"	0	""
"6086244"	41	""
"6075798"	0	""
"6086237"	28	""
"6079482"	43	""
"6086251"	40	""
"6080198"	0	""
"6079000"	24	""
"6080129"	24	""
"601055"	0	""
"6084288"	1	""
"6016005"	0	""
"601090"	0	""
"601984"	0	""
"6051815"	0	""
"6085759"	0	""
"6035693"	0	""
"6070960"	0	""
"6067809"	0	""
"6051907"	0	""
"6059224"	0	""
"6081577"	0	""
"6081553"	0	""
"6081348"	0	""
"6081331"	0	""
"6085551"	0	""
"601019"	0	""
"601011"	0	""
"6084110"	0	""
"6084134"	0	""
"6084127"	0	""
"601010"	0	""
"6068042"	0	""
"6050146"	0	""
"6086275"	0	""
"6037376"	0	""
"6041908"	0	""
"6082680"	0	""
"6085803"	0	""
"6080815"	90	""
"601034"	0	""
"6075019"	180	""
"6085261"	7	""
"6085087"	10	""
"6003319"	0	""
"6085858"	0	""
"6067953"	0	""
"6070205"	0	""
"601426"	0	""
"6077273"	0	""
"6008239"	0	""
"6023010"	0	""
"6086121"	0	""
